subj,spec,work,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14
93,25,8,1,1,0,1,0,0,0,1,0,1,0,0,0,0
94,22,8,0,1,0,1,1,1,0,0,0,0,1,0,0,0
95,4,7,1,0,0,1,1,0,0,0,0,1,0,0,0,0
96,25,8,1,1,0,0,0,1,0,1,0,0,1,0,0,0
97,22,7,0,1,1,0,0,0,0,0,1,0,0,0,0,0
98,7,8,0,1,1,0,0,0,1,0,0,0,1,0,1,0
99,22,3,1,0,0,1,0,0,0,1,1,0,0,0,1,0
100,22,8,1,1,0,0,0,0,0,1,1,0,0,0,0,0
101,25,8,1,1,0,0,0,0,0,0,1,1,0,0,0,0
102,7,8,0,1,0,1,0,0,1,1,0,0,0,0,1,0
103,25,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0
104,16,8,1,1,0,0,0,0,0,0,0,1,1,0,0,0
105,22,8,1,1,0,0,1,1,0,0,1,0,0,0,0,0
106,25,7,1,1,0,0,0,1,0,1,1,0,0,0,0,0
107,25,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0
108,4,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0
109,7,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0
110,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,25,8,1,1,0,1,0,1,0,0,0,1,0,0,0,0
112,23,7,1,0,0,0,0,1,0,1,1,0,0,0,0,0
113,22,4,0,1,0,1,0,0,0,0,0,1,1,1,0,0
114,23,8,0,1,0,0,0,0,1,1,0,0,0,0,0,0
115,4,8,0,1,0,0,1,1,0,0,0,0,1,0,1,0
116,22,8,0,1,0,1,0,0,0,0,0,1,1,0,1,0
117,7,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0
118,7,8,1,1,0,1,0,0,0,1,0,0,0,0,1,0
119,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0
121,3,8,0,1,0,0,0,1,0,0,1,0,1,0,1,0
